Dataset,Algorithm,Reward Function,Metric,Value
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@2: ,0.4825177554046671
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@3: ,0.5044225916386949
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@4: ,0.5151148573063759
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@5: ,0.5209370691224967
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@10: ,0.5298478789522979
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@15: ,0.5322434048083688
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,MRR@20: ,0.5331803949320537
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@1: ,0.416842269569968
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@2: ,0.5481932412393663
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@3: ,0.6139077499414657
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@4: ,0.6566768126121908
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@5: ,0.685787871692812
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@10: ,0.7506438773121049
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@15: ,0.7808475766799344
Retailrocket - Filtered items with min 30 actions,VSTAN (Baseline),no reward func,HitRate@20: ,0.7973932724576602
